[2025-12-17 03:49:01] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:02] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:03] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:04] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:05] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:06] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:08] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:09] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:10] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:11] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:12] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:13] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:14] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:15] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:16] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:17] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:19] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:20] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:21] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:22] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:23] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:24] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:25] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:26] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:27] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:28] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:30] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:31] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:32] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:33] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:34] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:35] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:36] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:37] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:38] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:39] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:41] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:42] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:43] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
[2025-12-17 03:49:44] Partie 1 - Joueur 2 joue carte 64 (1 têtes), prend 0 têtes
[2025-12-17 03:49:45] Partie 1 - Joueur 1 joue carte 89 (1 têtes), prend 0 têtes
